paragraph_id,label,number_of_sentences,mean_sentence_length,median_sentence_length,standard_deviation_sentence_length,coefficient_of_variation_sentence_length,minimum_sentence_length,maximum_sentence_length,mean_word_length,median_word_length,standard_deviation_word_length
pride_and_prejudice_TClass_P2,Human,20,22.05,21.0,17.223457840979552,0.7811091991373946,1,60,4.528473804100228,4.0,2.601643985880508
pride_and_prejudice_TClass_P2,AI,18,21.72222222222222,20.0,15.296352344978473,0.7041799033493926,3,59,4.6923076923076925,4.0,2.659803792203055
pride_and_prejudice_TClass_P3,Human,1,23.0,23.0,0.0,0.0,23,23,4.0,3.0,3.1484986069968124
pride_and_prejudice_TClass_P3,AI,1,22.0,22.0,0.0,0.0,22,22,4.2272727272727275,3.0,3.315690222697615
pride_and_prejudice_TClass_P4,Human,4,20.0,17.0,17.349351572897472,0.8674675786448736,1,45,3.8860759493670884,3.0,2.1815529352783463
pride_and_prejudice_TClass_P4,AI,4,19.75,17.0,17.297037318569906,0.8757993579022737,1,44,4.141025641025641,4.0,2.3843741262019917
pride_and_prejudice_TClass_P5,Human,4,6.75,7.0,3.897114317029974,0.5773502691896257,1,12,3.6153846153846154,4.0,1.820332240953728
pride_and_prejudice_TClass_P5,AI,4,6.5,7.0,3.570714214271425,0.5493406483494501,1,11,3.76,4.0,2.267686045289339
pride_and_prejudice_TClass_P6,Human,8,20.875,12.5,21.525783957849246,1.0311752794179279,1,70,4.706586826347305,4.0,2.6701081573229395
pride_and_prejudice_TClass_P6,AI,8,18.875,12.5,17.474535043886004,0.9258031811330333,1,57,4.927152317880795,4.0,2.888890200871834
pride_and_prejudice_TClass_P7,Human,4,43.0,43.0,12.041594578792296,0.2800370832277278,30,56,4.738372093023256,4.0,2.525712821540806
pride_and_prejudice_TClass_P7,AI,4,38.5,40.0,12.835497652993435,0.33338954942840093,22,52,5.1103896103896105,4.0,2.6812521021374938
pride_and_prejudice_TClass_P8,Human,4,23.0,15.0,24.73863375370596,1.0755927719002591,1,61,4.315217391304348,3.0,2.4043861542664016
pride_and_prejudice_TClass_P8,AI,4,20.5,13.0,22.197972880423112,1.0828279453864933,1,55,4.7073170731707314,4.0,2.4815799691662255
pride_and_prejudice_TClass_P9,Human,5,23.6,24.0,12.90891165048394,0.5469877818001669,1,38,4.194915254237288,3.0,2.4155515725394516
pride_and_prejudice_TClass_P9,AI,4,27.75,30.5,17.795715776557007,0.6412870550110633,1,49,4.4324324324324325,4.0,2.538431173384695
pride_and_prejudice_TClass_P10,Human,7,22.714285714285715,16.0,19.710144492579634,0.8677422103651411,5,66,4.635220125786163,4.0,2.621683610114813
pride_and_prejudice_TClass_P10,AI,6,24.166666666666668,18.0,19.46292772312417,0.8053625264741036,5,64,4.8068965517241375,4.0,2.6347716035913926
pride_and_prejudice_TClass_P11,Human,4,14.5,17.5,8.616843969807043,0.594265101366003,1,22,3.9298245614035086,4.0,1.9089783170155008
pride_and_prejudice_TClass_P11,AI,4,14.5,17.5,8.616843969807043,0.594265101366003,1,22,3.9298245614035086,4.0,1.9089783170155008
pride_and_prejudice_TClass_P12,Human,2,17.5,17.5,16.5,0.9428571428571428,1,34,3.9411764705882355,4.0,1.8777517293543962
pride_and_prejudice_TClass_P12,AI,2,17.5,17.5,16.5,0.9428571428571428,1,34,3.9411764705882355,4.0,1.8777517293543962
pride_and_prejudice_TClass_P13,Human,2,23.0,23.0,22.0,0.9565217391304348,1,45,3.977777777777778,3.0,2.1652702052465407
pride_and_prejudice_TClass_P13,AI,2,23.0,23.0,22.0,0.9565217391304348,1,45,3.977777777777778,3.0,2.1652702052465407
pride_and_prejudice_TClass_P14,Human,2,15.0,15.0,9.0,0.6,6,24,4.933333333333334,4.0,2.5289435651187544
pride_and_prejudice_TClass_P14,AI,2,15.0,15.0,9.0,0.6,6,24,4.933333333333334,4.0,2.5289435651187544
pride_and_prejudice_TClass_P15,Human,5,11.2,10.0,8.35224520712844,0.7457361792078965,1,25,4.636363636363637,4.0,2.9931050242098785
pride_and_prejudice_TClass_P15,AI,5,11.2,10.0,8.35224520712844,0.7457361792078965,1,25,4.636363636363637,4.0,2.9931050242098785
pride_and_prejudice_TClass_P16,Human,3,21.333333333333332,15.0,19.70335560817553,0.9235947941332281,1,48,4.765625,4.0,2.5844619090586343
pride_and_prejudice_TClass_P16,AI,3,20.666666666666668,15.0,18.80307303489394,0.9098261145916423,1,46,4.82258064516129,4.0,2.5997778661212148
pride_and_prejudice_TClass_P17,Human,8,11.75,11.0,7.189401922274203,0.6118639933850385,1,25,4.872340425531915,4.0,2.5898083497366704
pride_and_prejudice_TClass_P17,AI,8,11.5,11.0,6.745368781616021,0.5865538070970453,1,23,4.913043478260869,4.5,2.5945267387540336
pride_and_prejudice_TClass_P18,Human,3,9.666666666666666,13.0,6.182412330330469,0.639559896241083,1,15,4.571428571428571,4.0,2.782965676968308
pride_and_prejudice_TClass_P18,AI,3,9.666666666666666,13.0,6.182412330330469,0.639559896241083,1,15,4.571428571428571,4.0,2.782965676968308
pride_and_prejudice_TClass_P19,Human,3,8.333333333333334,9.0,5.734883511361751,0.6881860213634101,1,15,4.541666666666667,4.0,2.380111458641287
pride_and_prejudice_TClass_P19,AI,3,8.333333333333334,9.0,5.734883511361751,0.6881860213634101,1,15,4.541666666666667,4.0,2.380111458641287
pride_and_prejudice_TClass_P20,Human,10,11.7,9.0,9.77803661273571,0.8357296250201461,1,36,3.939655172413793,4.0,1.9664811610986779
pride_and_prejudice_TClass_P20,AI,10,11.8,9.0,9.785703858180055,0.829296937133903,1,36,3.9316239316239314,4.0,1.9599690200172242
pride_and_prejudice_TClass_P21,Human,3,23.333333333333332,22.0,18.80307303489394,0.8058459872097404,1,47,4.043478260869565,4.0,2.6289072100575606
pride_and_prejudice_TClass_P21,AI,3,23.333333333333332,22.0,18.80307303489394,0.8058459872097404,1,47,4.043478260869565,4.0,2.6289072100575606
pride_and_prejudice_TClass_P22,Human,2,6.5,6.5,5.5,0.8461538461538461,1,12,3.75,3.0,2.6180463454008347
pride_and_prejudice_TClass_P22,AI,2,6.5,6.5,5.5,0.8461538461538461,1,12,3.75,3.0,2.6180463454008347
pride_and_prejudice_TClass_P23,Human,14,4.857142857142857,3.5,3.6811710647786073,0.7578881603955957,1,12,3.8059701492537314,4.0,2.1317696801620447
pride_and_prejudice_TClass_P23,AI,14,4.857142857142857,3.5,3.6811710647786073,0.7578881603955957,1,12,3.8059701492537314,4.0,2.1317696801620447
pride_and_prejudice_TClass_P24,Human,4,16.5,10.5,16.439282222773596,0.9963201347135513,1,44,3.707692307692308,4.0,1.8869843823337802
pride_and_prejudice_TClass_P24,AI,4,16.5,10.5,16.439282222773596,0.9963201347135513,1,44,3.707692307692308,4.0,1.8869843823337802
pride_and_prejudice_TClass_P25,Human,3,21.333333333333332,14.0,11.08552609887726,0.5196340358848716,13,37,4.375,4.0,2.3082731640774234
pride_and_prejudice_TClass_P25,AI,3,21.333333333333332,14.0,11.08552609887726,0.5196340358848716,13,37,4.375,4.0,2.3082731640774234
pride_and_prejudice_TClass_P26,Human,8,46.75,57.0,34.079869424632484,0.7289811641632616,1,90,4.626344086021505,4.0,2.7243731783546363
pride_and_prejudice_TClass_P26,AI,8,46.75,57.0,34.079869424632484,0.7289811641632616,1,90,4.623655913978495,4.0,2.721534902530341
pride_and_prejudice_TClass_P27,Human,4,14.75,9.5,14.53229162933362,0.9852401104632963,1,39,4.379310344827586,4.0,2.8577033593242294
pride_and_prejudice_TClass_P27,AI,4,14.75,9.5,14.53229162933362,0.9852401104632963,1,39,4.379310344827586,4.0,2.8577033593242294
pride_and_prejudice_TClass_P28,Human,4,20.5,21.0,11.434596626029272,0.5577852012697205,5,35,4.402439024390244,4.0,2.3314381414177783
pride_and_prejudice_TClass_P28,AI,4,20.5,21.0,11.434596626029272,0.5577852012697205,5,35,4.402439024390244,4.0,2.3314381414177783
pride_and_prejudice_TClass_P29,Human,2,5.0,5.0,4.0,0.8,1,9,4.333333333333333,4.0,1.8257418583505538
pride_and_prejudice_TClass_P29,AI,2,5.0,5.0,4.0,0.8,1,9,4.333333333333333,4.0,1.8257418583505538
pride_and_prejudice_TClass_P30,Human,13,22.46153846153846,20.0,18.45416519427935,0.8215895463206561,1,55,4.6506849315068495,4.0,2.6755935604519316
pride_and_prejudice_TClass_P30,AI,13,22.46153846153846,20.0,18.45416519427935,0.8215895463206561,1,55,4.6506849315068495,4.0,2.6755935604519316
pride_and_prejudice_TClass_P31,Human,5,24.8,30.0,12.253978945632312,0.4941120542593674,1,35,4.650406504065041,4.0,2.4824055335759367
pride_and_prejudice_TClass_P31,AI,5,24.8,30.0,12.253978945632312,0.4941120542593674,1,35,4.650406504065041,4.0,2.4824055335759367
pride_and_prejudice_TClass_P32,Human,4,43.75,53.0,26.05163142684158,0.5954658611849504,1,68,4.748571428571428,3.0,2.963527958225411
pride_and_prejudice_TClass_P32,AI,4,43.75,53.0,26.05163142684158,0.5954658611849504,1,68,4.748571428571428,3.0,2.963527958225411
pride_and_prejudice_TClass_P33,Human,2,42.5,42.5,10.5,0.24705882352941178,32,53,4.7176470588235295,4.0,3.115848537834701
pride_and_prejudice_TClass_P33,AI,2,42.5,42.5,10.5,0.24705882352941178,32,53,4.705882352941177,4.0,3.0901114749043663
pride_and_prejudice_TClass_P34,Human,12,13.75,6.5,15.210330919038766,1.1062058850210013,1,50,4.721212121212122,4.0,2.455884408463042
pride_and_prejudice_TClass_P34,AI,12,13.75,6.5,15.210330919038766,1.1062058850210013,1,50,4.721212121212122,4.0,2.455884408463042
pride_and_prejudice_TClass_P35,Human,4,12.75,8.0,12.676257334087218,0.9942162614970367,1,34,4.44,4.0,2.392989761783364
pride_and_prejudice_TClass_P35,AI,4,12.75,8.0,12.676257334087218,0.9942162614970367,1,34,4.44,4.0,2.392989761783364
pride_and_prejudice_TClass_P36,Human,3,21.0,27.0,14.514360704718161,0.6911600335580077,1,35,4.290322580645161,4.0,2.4586063241666096
pride_and_prejudice_TClass_P36,AI,3,21.0,27.0,14.514360704718161,0.6911600335580077,1,35,4.290322580645161,4.0,2.4586063241666096
pride_and_prejudice_TClass_P37,Human,2,18.0,18.0,17.0,0.9444444444444444,1,35,5.222222222222222,4.0,2.809815248089287
pride_and_prejudice_TClass_P37,AI,2,18.0,18.0,17.0,0.9444444444444444,1,35,5.222222222222222,4.0,2.809815248089287
pride_and_prejudice_TClass_P38,Human,8,17.625,15.0,13.209253385411305,0.7494611849878755,1,40,4.4714285714285715,4.0,2.731935099477127
pride_and_prejudice_TClass_P38,AI,8,17.625,15.0,13.209253385411305,0.7494611849878755,1,40,4.4714285714285715,4.0,2.731935099477127
pride_and_prejudice_TClass_P39,Human,7,11.0,6.0,8.88015443881146,0.8072867671646781,1,24,4.631578947368421,3.5,3.025514768132584
pride_and_prejudice_TClass_P39,AI,7,11.0,6.0,8.88015443881146,0.8072867671646781,1,24,4.631578947368421,3.5,3.025514768132584
pride_and_prejudice_TClass_P40,Human,2,13.0,13.0,12.0,0.9230769230769231,1,25,4.16,4.0,1.8693314312876679
pride_and_prejudice_TClass_P40,AI,2,13.0,13.0,12.0,0.9230769230769231,1,25,4.16,4.0,1.8693314312876679
pride_and_prejudice_TClass_P41,Human,3,31.0,38.0,22.19609575278199,0.716003088799419,1,54,4.510869565217392,4.0,2.5302284018632513
pride_and_prejudice_TClass_P41,AI,3,31.0,38.0,22.19609575278199,0.716003088799419,1,54,4.510869565217392,4.0,2.5302284018632513
pride_and_prejudice_TClass_P42,Human,10,15.9,14.5,10.280564186852782,0.6465763639530051,1,32,4.6918238993710695,4.0,2.7562386308830766
pride_and_prejudice_TClass_P42,AI,10,15.1,12.5,10.7,0.7086092715231788,1,32,4.695364238410596,4.0,2.6941028989710634
pride_and_prejudice_TPride_P1,Human,5,31.6,37.0,20.934182573007238,0.6624741320571911,1,53,4.624203821656051,4.0,2.709770039221613
pride_and_prejudice_TPride_P1,AI,7,17.0,11.0,12.153776602944689,0.7149280354673346,5,40,4.915254237288136,4.0,2.713982223898047
pride_and_prejudice_TPride_P2,Human,12,33.666666666666664,32.5,19.94297425717193,0.5923655719952059,1,70,4.905236907730673,4.0,2.822424897226356
pride_and_prejudice_TPride_P2,AI,9,16.11111111111111,17.0,7.062332703142535,0.4383516850226401,6,30,5.545454545454546,5.0,2.7979194886052565
pride_and_prejudice_TPride_P3,Human,6,31.0,31.5,16.703293088490067,0.5388159060803247,1,55,4.9135135135135135,4.0,3.3824796727111117
pride_and_prejudice_TPride_P3,AI,3,28.333333333333332,33.0,8.055363982396383,0.28430696408457823,17,35,5.105882352941176,4.0,3.0215832601343084
pride_and_prejudice_TPride_P4,Human,12,29.916666666666668,30.0,18.741479545530968,0.6264561407976925,1,75,4.553072625698324,4.0,2.6258766134643334
pride_and_prejudice_TPride_P4,AI,7,16.285714285714285,13.0,5.993193418115152,0.36800310462110586,10,25,5.4298245614035086,5.0,2.7592565050116975
pride_and_prejudice_TPride_P5,Human,13,20.846153846153847,22.0,15.878607543320443,0.7617044208972906,1,48,4.620817843866171,4.0,2.5762162249025438
pride_and_prejudice_TPride_P5,AI,10,8.1,9.5,4.887739763939974,0.6034246622148116,1,13,5.691358024691358,6.0,2.844279401933426
pride_and_prejudice_TPride_P6,Human,9,28.11111111111111,28.0,14.639705859556093,0.5207800503399401,1,48,4.646825396825397,4.0,2.6870998855477173
pride_and_prejudice_TPride_P6,AI,6,11.833333333333334,12.5,5.871304984602846,0.4961666184171419,1,18,5.422535211267606,5.0,3.0473353487322994
pride_and_prejudice_TPride_P7,Human,1,4.0,4.0,0.0,0.0,4,4,7.25,7.0,3.491060010942235
pride_and_prejudice_TPride_P7,AI,2,5.5,5.5,4.5,0.8181818181818182,1,10,6.1,4.0,4.253234063627348
pride_and_prejudice_TPride_P8,Human,5,6.4,6.0,3.8781438859330635,0.6059599821770412,1,13,3.6451612903225805,3.0,2.2367659126915767
pride_and_prejudice_TPride_P8,AI,5,4.6,5.0,2.65329983228432,0.5768043113661566,1,9,3.9545454545454546,3.0,2.4950363948388103
pride_and_prejudice_TPride_P9,Human,8,20.875,12.5,21.525783957849246,1.0311752794179279,1,70,4.706586826347305,4.0,2.6701081573229395
pride_and_prejudice_TPride_P9,AI,6,7.666666666666667,8.5,3.986086914367133,0.5199243801348434,1,14,5.608695652173913,5.0,3.0820536692951794
pride_and_prejudice_TPride_P10,Human,4,43.0,43.0,12.041594578792296,0.2800370832277278,30,56,4.738372093023256,4.0,2.525712821540806
pride_and_prejudice_TPride_P10,AI,3,13.666666666666666,12.0,3.0912061651652345,0.22618581696330986,11,18,5.829268292682927,5.0,3.498448708648367
pride_and_prejudice_TPride_P11,Human,8,16.0,16.0,8.139410298049853,0.5087131436281158,6,34,4.890625,4.0,2.6197398934579366
pride_and_prejudice_TPride_P11,AI,4,11.0,10.0,2.345207879911715,0.21320071635561044,9,15,5.704545454545454,5.5,2.624877014041415
